,6.00,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.20,1.89,1.59,1.29,0.98,0.68,,,0.35,0.04,,,,1.518267143,1.473612227,1.428957311,1.384302395,1.339647479,1.294992563,1.250337647,1.205682731,1.161027815,1.116372899,1.071717983,1.027063067,0.982408151,0.937753236,0.89309832,0.848443404,0.803788488,0.759133572,0.714478656,0.66982374,0.625168824,0.580513908,0.535858992,0.491204076,0.44654916,0.401894244,0.357239328,0.312584412,0.267929496,0.22327458,0.178619664,0.133964748,0.089309832,0.044654916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1.85,1.57,1.28,1.00,0.71,0.43,,,0.31,0.04,,,,1.55359034,1.509202044,1.464813749,1.420425453,1.376037158,1.331648862,1.287260567,1.242872272,1.198483976,1.154095681,1.109707385,1.06531909,1.020930795,0.976542499,0.932154204,0.887765908,0.843377613,0.798989317,0.754601022,0.710212727,0.665824431,0.621436136,0.57704784,0.532659545,0.48827125,0.443882954,0.399494659,0.355106363,0.310718068,0.266329772,0.221941477,0.177553182,0.133164886,0.088776591,0.044388295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1.54,1.28,1.01,0.74,0.47,0.20,,,0.27,0.04,,,,1.569494836,1.525897757,1.482300678,1.438703599,1.395106521,1.351509442,1.307912363,1.264315284,1.220718205,1.177121127,1.133524048,1.089926969,1.04632989,1.002732812,0.959135733,0.915538654,0.871941575,0.828344497,0.784747418,0.741150339,0.69755326,0.653956181,0.610359103,0.566762024,0.523164945,0.479567866,0.435970788,0.392373709,0.34877663,0.305179551,0.261582473,0.217985394,0.174388315,0.130791236,0.087194158,0.043597079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1.28,1.02,0.77,0.52,0.26,0.01,,,0.23,0.04,,,,1.56562815,1.523313875,1.480999601,1.438685327,1.396371053,1.354056778,1.311742504,1.26942823,1.227113955,1.184799681,1.142485407,1.100171132,1.057856858,1.015542584,0.973228309,0.930914035,0.888599761,0.846285486,0.803971212,0.761656938,0.719342663,0.677028389,0.634714115,0.59239984,0.550085566,0.507771292,0.465457018,0.423142743,0.380828469,0.338514195,0.29619992,0.253885646,0.211571372,0.169257097,0.126942823,0.084628549,0.042314274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.04,0.80,0.56,0.32,0.08,0.00,,,0.20,0.03,,,,1.541885559,1.501309624,1.460733688,1.420157752,1.379581816,1.339005881,1.298429945,1.257854009,1.217278073,1.176702137,1.136126202,1.095550266,1.05497433,1.014398394,0.973822459,0.933246523,0.892670587,0.852094651,0.811518716,0.77094278,0.730366844,0.689790908,0.649214972,0.608639037,0.568063101,0.527487165,0.486911229,0.446335294,0.405759358,0.365183422,0.324607486,0.28403155,0.243455615,0.202879679,0.162303743,0.121727807,0.081151872,0.040575936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.84,0.62,0.39,0.16,0.00,0.00,,,0.17,0.03,,,,1.499425302,1.460978499,1.422531697,1.384084894,1.345638092,1.307191289,1.268744486,1.230297684,1.191850881,1.153404078,1.114957276,1.076510473,1.038063671,0.999616868,0.961170065,0.922723263,0.88427646,0.845829658,0.807382855,0.768936052,0.73048925,0.692042447,0.653595644,0.615148842,0.576702039,0.538255237,0.499808434,0.461361631,0.422914829,0.384468026,0.346021224,0.307574421,0.269127618,0.230680816,0.192234013,0.15378721,0.115340408,0.076893605,0.038446803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.68,0.46,0.24,0.02,0.00,0.00,,,0.14,0.03,,,,1.43942487,1.403439248,1.367453626,1.331468005,1.295482383,1.259496761,1.223511139,1.187525518,1.151539896,1.115554274,1.079568652,1.043583031,1.007597409,0.971611787,0.935626165,0.899640544,0.863654922,0.8276693,0.791683678,0.755698057,0.719712435,0.683726813,0.647741191,0.61175557,0.575769948,0.539784326,0.503798704,0.467813083,0.431827461,0.395841839,0.359856217,0.323870596,0.287884974,0.251899352,0.21591373,0.179928109,0.143942487,0.107956865,0.071971243,0.035985622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.53,0.33,0.12,0.00,0.00,0.00,,,0.12,0.02,,,,1.364005635,1.330737205,1.297468775,1.264200345,1.230931915,1.197663484,1.164395054,1.131126624,1.097858194,1.064589764,1.031321334,0.998052904,0.964784474,0.931516043,0.898247613,0.864979183,0.831710753,0.798442323,0.765173893,0.731905463,0.698637033,0.665368602,0.632100172,0.598831742,0.565563312,0.532294882,0.499026452,0.465758022,0.432489592,0.399221161,0.365952731,0.332684301,0.299415871,0.266147441,0.232879011,0.199610581,0.166342151,0.13307372,0.09980529,0.06653686,0.03326843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.42,,,,,,,,0.10,0.02,,,,1.275477589,1.245109075,1.214740561,1.184372047,1.154003533,1.123635019,1.093266505,1.062897991,1.032529477,1.002160963,0.971792449,0.941423935,0.911055421,0.880686907,0.850318392,0.819949878,0.789581364,0.75921285,0.728844336,0.698475822,0.668107308,0.637738794,0.60737028,0.577001766,0.546633252,0.516264738,0.485896224,0.45552771,0.425159196,0.394790682,0.364422168,0.334053654,0.30368514,0.273316626,0.242948112,0.212579598,0.182211084,0.15184257,0.121474056,0.091105542,0.060737028,0.030368514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.32,,,,,,,,0.08,0.02,,,,1.176883192,1.149513815,1.122144439,1.094775062,1.067405686,1.040036309,1.012666933,0.985297556,0.957928179,0.930558803,0.903189426,0.87582005,0.848450673,0.821081297,0.79371192,0.766342544,0.738973167,0.71160379,0.684234414,0.656865037,0.629495661,0.602126284,0.574756908,0.547387531,0.520018155,0.492648778,0.465279401,0.437910025,0.410540648,0.383171272,0.355801895,0.328432519,0.301063142,0.273693766,0.246324389,0.218955012,0.191585636,0.164216259,0.136846883,0.109477506,0.08210813,0.054738753,0.027369377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.24,,,,,,,,0.06,0.02,,,,1.070885703,1.046547391,1.02220908,0.997870769,0.973532457,0.949194146,0.924855834,0.900517523,0.876179211,0.8518409,0.827502589,0.803164277,0.778825966,0.754487654,0.730149343,0.705811031,0.68147272,0.657134409,0.632796097,0.608457786,0.584119474,0.559781163,0.535442851,0.51110454,0.486766229,0.462427917,0.438089606,0.413751294,0.389412983,0.365074671,0.34073636,0.316398049,0.292059737,0.267721426,0.243383114,0.219044803,0.194706491,0.17036818,0.146029869,0.121691557,0.097353246,0.073014934,0.048676623,0.024338311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.18,,,,,,,,0.05,0.01,,,,0.960965728,0.939610934,0.91825614,0.896901346,0.875546552,0.854191759,0.832836965,0.811482171,0.790127377,0.768772583,0.747417789,0.726062995,0.704708201,0.683353407,0.661998613,0.640643819,0.619289025,0.597934231,0.576579437,0.555224643,0.533869849,0.512515055,0.491160261,0.469805467,0.448450673,0.427095879,0.405741085,0.384386291,0.363031497,0.341676703,0.320321909,0.298967115,0.277612322,0.256257528,0.234902734,0.21354794,0.192193146,0.170838352,0.149483558,0.128128764,0.10677397,0.085419176,0.064064382,0.042709588,0.021354794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.14,,,,,,,,0.04,0.01,,,,0.849977307,0.831499539,0.813021772,0.794544004,0.776066237,0.757588469,0.739110702,0.720632934,0.702155166,0.683677399,0.665199631,0.646721864,0.628244096,0.609766329,0.591288561,0.572810794,0.554333026,0.535855259,0.517377491,0.498899724,0.480421956,0.461944188,0.443466421,0.424988653,0.406510886,0.388033118,0.369555351,0.351077583,0.332599816,0.314122048,0.295644281,0.277166513,0.258688746,0.240210978,0.22173321,0.203255443,0.184777675,0.166299908,0.14782214,0.129344373,0.110866605,0.092388838,0.07391107,0.055433303,0.036955535,0.018477768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.10,,,,,,,,0.03,0.01,,,,0.740936375,0.725171771,0.709407167,0.693642563,0.67787796,0.662113356,0.646348752,0.630584149,0.614819545,0.599054941,0.583290337,0.567525734,0.55176113,0.535996526,0.520231923,0.504467319,0.488702715,0.472938111,0.457173508,0.441408904,0.4256443,0.409879697,0.394115093,0.378350489,0.362585885,0.346821282,0.331056678,0.315292074,0.299527471,0.283762867,0.267998263,0.252233659,0.236469056,0.220704452,0.204939848,0.189175245,0.173410641,0.157646037,0.141881433,0.12611683,0.110352226,0.094587622,0.078823019,0.063058415,0.047293811,0.031529207,0.015764604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.07,,,,,,,,0.02,0.01,,,,0.636258431,0.623003047,0.609747663,0.596492279,0.583236895,0.569981511,0.556726127,0.543470743,0.530215359,0.516959975,0.503704591,0.490449208,0.477193824,0.46393844,0.450683056,0.437427672,0.424172288,0.410916904,0.39766152,0.384406136,0.371150752,0.357895368,0.344639984,0.3313846,0.318129216,0.304873832,0.291618448,0.278363064,0.26510768,0.251852296,0.238596912,0.225341528,0.212086144,0.19883076,0.185575376,0.172319992,0.159064608,0.145809224,0.13255384,0.119298456,0.106043072,0.092787688,0.079532304,0.06627692,0.053021536,0.039766152,0.026510768,0.013255384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
